Time      Date    	    Sum
(hh:mm:ss.mmm dd/mm/yyyy)	     ()
[05:28:29.000 02/01/2002]	 -0.242
[05:28:29.008 02/01/2002]	 -0.242
[05:28:29.016 02/01/2002]	 -0.242
[05:28:29.023 02/01/2002]	 -0.242
[05:28:29.031 02/01/2002]	 -0.242
[05:28:29.039 02/01/2002]	 -0.242
[05:28:29.047 02/01/2002]	 -0.242
[05:28:29.055 02/01/2002]	 -0.242
[05:28:29.063 02/01/2002]	 -0.242
[05:28:29.070 02/01/2002]	 -0.242
[05:28:29.078 02/01/2002]	 -0.242
[05:28:29.086 02/01/2002]	 -0.242
[05:28:29.094 02/01/2002]	 -0.242
[05:28:29.102 02/01/2002]	 -0.242
[05:28:29.109 02/01/2002]	 -0.242
[05:28:29.117 02/01/2002]	 -0.242
[05:28:29.125 02/01/2002]	 -0.504
[05:28:29.133 02/01/2002]	 -0.504
[05:28:29.141 02/01/2002]	 -0.504
[05:28:29.148 02/01/2002]	 -0.504
[05:28:29.156 02/01/2002]	 -0.504
[05:28:29.164 02/01/2002]	 -0.504
[05:28:29.172 02/01/2002]	 -0.504
[05:28:29.180 02/01/2002]	 -0.504
[05:28:29.188 02/01/2002]	 -0.504
[05:28:29.195 02/01/2002]	 -0.504
[05:28:29.203 02/01/2002]	 -0.504
[05:28:29.211 02/01/2002]	 -0.504
[05:28:29.219 02/01/2002]	 -0.504
[05:28:29.227 02/01/2002]	 -0.504
[05:28:29.234 02/01/2002]	 -0.504
[05:28:29.242 02/01/2002]	 -0.504
[05:28:29.250 02/01/2002]	 -0.684
[05:28:29.258 02/01/2002]	 -0.684
[05:28:29.266 02/01/2002]	 -0.684
[05:28:29.273 02/01/2002]	 -0.684
[05:28:29.281 02/01/2002]	 -0.684
[05:28:29.289 02/01/2002]	 -0.684
[05:28:29.297 02/01/2002]	 -0.684
[05:28:29.305 02/01/2002]	 -0.684
[05:28:29.313 02/01/2002]	 -0.684
[05:28:29.320 02/01/2002]	 -0.684
[05:28:29.328 02/01/2002]	 -0.684
[05:28:29.336 02/01/2002]	 -0.684
[05:28:29.344 02/01/2002]	 -0.684
[05:28:29.352 02/01/2002]	 -0.684
[05:28:29.359 02/01/2002]	 -0.684
